Date,Close,prev_close,daily_return_pct
2014-10-13,625.0,646.06,-3.26
2014-10-14,631.51,625.0,1.04
2014-10-15,644.0,631.51,1.98
2014-10-16,664.9,644.0,3.25
2014-10-17,665.01,664.9,0.02
2014-10-20,690.99,665.01,3.91
2014-10-21,635.0,690.99,-8.1
2014-10-22,575.01,635.0,-9.45
2014-10-23,564.99,575.01,-1.74
2014-10-24,553.0,564.99,-2.12
2014-10-27,550.0,553.0,-0.54
2014-10-28,569.01,550.0,3.46
2014-10-29,544.5,569.01,-4.31
2014-10-30,574.99,544.5,5.6
2014-10-31,540.0,574.99,-6.09
2014-11-03,538.01,540.0,-0.37
2014-11-04,510.0,538.01,-5.21
2014-11-05,501.22,510.0,-1.72
2014-11-06,512.0,501.22,2.15
2014-11-07,523.99,512.0,2.34
2014-11-10,536.99,523.99,2.48
2014-11-11,582.42,536.99,8.46
2014-11-12,526.0,582.42,-9.69
2014-11-13,491.84,526.0,-6.49
2014-11-14,481.0,491.84,-2.2
2014-11-17,490.5,481.0,1.98
2014-11-18,491.02,490.5,0.11
2014-11-19,474.0,491.02,-3.47
2014-11-20,480.0,474.0,1.27
2014-11-21,505.0,480.0,5.21
2014-11-24,534.99,505.0,5.94
2014-11-25,549.0,534.99,2.62
2014-11-26,554.5,549.0,1.0
2014-11-28,495.0,554.5,-10.73
2014-12-01,494.0,495.0,-0.2
2014-12-02,506.0,494.0,2.43
2014-12-03,490.05,506.0,-3.15
2014-12-04,499.99,490.05,2.03
2014-12-05,495.01,499.99,-1.0
2014-12-08,456.05,495.01,-7.87
2014-12-09,451.0,456.05,-1.11
2014-12-10,440.92,451.0,-2.24
2014-12-11,448.11,440.92,1.63
2014-12-12,451.0,448.11,0.64
2014-12-15,442.0,451.0,-2.0
2014-12-16,436.65,442.0,-1.21
2014-12-17,471.75,436.65,8.04
2014-12-18,465.74,471.75,-1.27
2014-12-19,465.3,465.74,-0.09
2014-12-22,356.5,465.3,-23.38
2014-12-23,339.99,356.5,-4.63
2014-12-24,335.99,339.99,-1.18
2014-12-26,336.0,335.99,0.0
2014-12-29,334.05,336.0,-0.58
2014-12-30,340.0,334.05,1.78
2014-12-31,310.12,340.0,-8.79
2015-01-02,327.18,310.12,5.5
2015-01-05,340.87,327.18,4.18
2015-01-06,328.0,340.87,-3.78
2015-01-07,330.01,328.0,0.61
2015-01-08,342.85,330.01,3.89
2015-01-09,312.26,342.85,-8.92
2015-01-12,321.81,312.26,3.06
2015-01-13,214.28,321.81,-33.41
2015-01-14,205.32,214.28,-4.18
2015-01-15,231.35,205.32,12.68
2015-01-16,300.01,231.35,29.68
2015-01-20,269.68,300.01,-10.11
2015-01-21,269.99,269.68,0.11
2015-01-22,240.11,269.99,-11.07
2015-01-23,223.81,240.11,-6.79
2015-01-26,239.68,223.81,7.09
2015-01-27,220.4,239.68,-8.04
2015-01-28,190.75,220.4,-13.45
2015-01-29,172.01,190.75,-9.82
2015-01-30,160.0,172.01,-6.98
2015-02-02,156.33,160.0,-2.29
2015-02-03,168.45,156.33,7.75
2015-02-04,170.4,168.45,1.16
2015-02-05,185.0,170.4,8.57
2015-02-06,195.29,185.0,5.56
2015-02-09,183.51,195.29,-6.03
2015-02-10,177.0,183.51,-3.55
2015-02-11,173.63,177.0,-1.9
2015-02-12,181.75,173.63,4.68
2015-02-13,173.53,181.75,-4.52
2015-02-17,187.25,173.53,7.91
2015-02-18,195.85,187.25,4.59
2015-02-19,199.5,195.85,1.86
2015-02-20,203.0,199.5,1.75
2015-02-23,215.0,203.0,5.91
2015-02-24,211.99,215.0,-1.4
2015-02-25,208.0,211.99,-1.88
2015-02-26,188.3,208.0,-9.47
2015-02-27,177.05,188.3,-5.97
2015-03-02,193.0,177.05,9.01
2015-03-03,203.0,193.0,5.18
2015-03-04,203.65,203.0,0.32
2015-03-05,203.36,203.65,-0.14
2015-03-06,195.25,203.36,-3.99
2015-03-09,206.5,195.25,5.76
2015-03-10,202.0,206.5,-2.18
2015-03-11,203.0,202.0,0.5
2015-03-12,254.04,203.0,25.14
2015-03-13,236.43,254.04,-6.93
2015-03-16,226.0,236.43,-4.41
2015-03-17,210.07,226.0,-7.05
2015-03-18,212.0,210.07,0.92
2015-03-19,204.22,212.0,-3.67
2015-03-20,206.0,204.22,0.87
2015-03-23,202.5,206.0,-1.7
2015-03-24,199.0,202.5,-1.73
2015-03-25,193.55,199.0,-2.74
2015-03-26,192.08,193.55,-0.76
2015-03-27,191.0,192.08,-0.56
2015-03-30,187.05,191.0,-2.07
2015-03-31,185.13,187.05,-1.03
2015-04-01,202.97,185.13,9.64
2015-04-02,212.0,202.97,4.45
2015-04-06,232.33,212.0,9.59
2015-04-07,259.95,232.33,11.89
2015-04-08,255.04,259.95,-1.89
2015-04-09,247.0,255.04,-3.15
2015-04-10,239.0,247.0,-3.24
2015-04-13,233.75,239.0,-2.2
2015-04-14,228.0,233.75,-2.46
2015-04-15,236.31,228.0,3.64
2015-04-16,232.98,236.31,-1.41
2015-04-17,222.04,232.98,-4.7
2015-04-20,231.95,222.04,4.46
2015-04-21,227.4,231.95,-1.96
2015-04-22,223.83,227.4,-1.57
2015-04-23,221.28,223.83,-1.14
2015-04-24,217.99,221.28,-1.49
2015-04-27,215.85,217.99,-0.98
2015-04-28,216.79,215.85,0.44
2015-04-29,231.55,216.79,6.81
2015-04-30,224.0,231.55,-3.26
2015-05-01,225.01,224.0,0.45
2015-05-04,216.5,225.01,-3.78
2015-05-05,220.0,216.5,1.62
2015-05-06,216.57,220.0,-1.56
2015-05-07,227.35,216.57,4.98
2015-05-08,204.65,227.35,-9.98
2015-05-11,197.85,204.65,-3.32
2015-05-12,192.0,197.85,-2.96
2015-05-13,181.85,192.0,-5.29
2015-05-14,182.6,181.85,0.41
2015-05-15,177.02,182.6,-3.06
2015-05-18,173.99,177.02,-1.71
2015-05-19,183.85,173.99,5.67
2015-05-20,182.0,183.85,-1.01
2015-05-21,185.0,182.0,1.65
2015-05-22,188.24,185.0,1.75
2015-05-26,169.01,188.24,-10.22
2015-05-27,173.35,169.01,2.57
2015-05-28,173.06,173.35,-0.17
2015-05-29,170.39,173.06,-1.54
2015-06-01,167.0,170.39,-1.99
2015-06-02,168.2,167.0,0.72
2015-06-03,163.84,168.2,-2.59
2015-06-04,162.66,163.84,-0.72
2015-06-05,171.29,162.66,5.31
2015-06-08,162.0,171.29,-5.42
2015-06-09,161.0,162.0,-0.62
2015-06-10,162.89,161.0,1.17
2015-06-11,167.0,162.89,2.52
2015-06-12,165.14,167.0,-1.11
2015-06-15,157.02,165.14,-4.92
2015-06-16,152.81,157.02,-2.68
2015-06-17,151.35,152.81,-0.96
2015-06-18,153.27,151.35,1.27
2015-06-19,158.69,153.27,3.54
2015-06-22,157.88,158.69,-0.51
2015-06-23,155.03,157.88,-1.81
2015-06-24,145.27,155.03,-6.3
2015-06-25,140.5,145.27,-3.28
2015-06-26,146.0,140.5,3.91
2015-06-29,146.0,146.0,0.0
2015-06-30,144.29,146.0,-1.17
2015-07-01,143.85,144.29,-0.3
2015-07-02,140.5,143.85,-2.33
2015-07-06,140.05,140.5,-0.32
2015-07-07,140.75,140.05,0.5
2015-07-08,133.63,140.75,-5.06
2015-07-09,131.01,133.63,-1.96
2015-07-10,137.99,131.01,5.33
2015-07-13,144.74,137.99,4.89
2015-07-14,146.47,144.74,1.2
2015-07-15,147.05,146.47,0.4
2015-07-16,147.1,147.05,0.03
2015-07-17,146.61,147.1,-0.33
2015-07-20,137.25,146.61,-6.38
2015-07-21,135.27,137.25,-1.44
2015-07-22,133.95,135.27,-0.98
2015-07-23,139.13,133.95,3.87
2015-07-24,138.02,139.13,-0.8
2015-07-27,133.1,138.02,-3.56
2015-07-28,135.0,133.1,1.43
2015-07-29,137.0,135.0,1.48
2015-07-30,132.0,137.0,-3.65
2015-07-31,132.57,132.0,0.43
2015-08-03,130.45,132.57,-1.6
2015-08-04,130.05,130.45,-0.31
2015-08-05,133.75,130.05,2.85
2015-08-06,130.12,133.75,-2.71
2015-08-07,132.86,130.12,2.11
2015-08-10,113.98,132.86,-14.21
2015-08-11,105.47,113.98,-7.47
2015-08-12,100.01,105.47,-5.18
2015-08-13,96.88,100.01,-3.13
2015-08-14,93.0,96.88,-4.0
2015-08-17,79.75,93.0,-14.25
2015-08-18,60.01,79.75,-24.75
2015-08-19,43.01,60.01,-28.33
2015-08-20,37.7,43.01,-12.35
2015-08-21,34.4,37.7,-8.75
2015-08-24,32.8,34.4,-4.65
2015-08-25,30.02,32.8,-8.48
2015-08-26,33.4,30.02,11.26
2015-08-27,37.8,33.4,13.17
2015-08-28,35.7,37.8,-5.56
2015-08-31,38.49,35.7,7.82
2015-09-01,39.53,38.49,2.7
2015-09-02,39.0,39.53,-1.34
2015-09-03,35.57,39.0,-8.79
2015-09-04,32.6,35.57,-8.35
2015-09-08,30.25,32.6,-7.21
2015-09-09,27.22,30.25,-10.02
2015-09-10,25.0,27.22,-8.16
2015-09-11,28.8,25.0,15.2
2015-09-14,26.03,28.8,-9.62
2015-09-15,27.61,26.03,6.07
2015-09-16,26.64,27.61,-3.51
2015-09-17,27.21,26.64,2.14
2015-09-18,25.84,27.21,-5.03
2015-09-21,24.65,25.84,-4.61
2015-09-22,25.06,24.65,1.66
2015-09-23,23.8,25.06,-5.03
2015-09-24,24.4,23.8,2.52
2015-09-25,24.63,24.4,0.94
2015-09-28,24.05,24.63,-2.35
2015-09-29,23.55,24.05,-2.08
2015-09-30,23.95,23.55,1.7
2015-10-01,23.3,23.95,-2.71
2015-10-02,22.98,23.3,-1.37
2015-10-05,24.93,22.98,8.49
2015-10-06,25.5,24.93,2.29
2015-10-07,28.0,25.5,9.8
2015-10-08,29.4,28.0,5.0
2015-10-09,32.34,29.4,10.0
2015-10-12,38.0,32.34,17.5
2015-10-13,31.6,38.0,-16.84
2015-10-14,29.61,31.6,-6.3
2015-10-15,33.35,29.61,12.63
2015-10-16,29.8,33.35,-10.64
2015-10-19,29.36,29.8,-1.48
2015-10-20,28.4,29.36,-3.27
